id,2020,2021,2022,2023,2024
09172,C,C,C,C,C
09222,C,-,-,-,-
09228,C,C,C,C,C
09231,-,C,C,C,C
09245,C,C,C,C,C
09261,C,C,C,C,C
09276,C,N,N,N,N
09292,C,-,-,-,C
09309,C,C,C,C,C
09328,-,C,C,-,-
10045,C,C,C,C,C
10084,C,C,C,C,C
10098,C,C,C,C,C
10139,C,C,C,N,C
10141,C,C,C,C,C
10302,C,C,C,C,C
11007,C,-,C,-,C
11048,C,C,C,C,C
11049,C,C,C,C,C
11087,C,C,N,C,C
11134,C,C,C,C,C
11148,C,C,C,C,C
11157,C,-,C,-,C
11160,-,-,-,-,C
11206,C,C,C,C,C
11265,-,-,C,-,C
11281,C,C,C,C,C
11311,C,C,C,C,C
11312,C,C,C,C,C
11315,C,C,C,C,C
11342,C,C,C,C,C
11366,C,C,C,C,C
11408,C,C,C,C,C
11418,C,C,C,C,C
12033,C,C,C,C,C
12100,C,C,C,C,C
12111,C,C,C,C,C
12141,C,C,C,C,C
12147,C,-,C,-,C
12150,C,C,C,C,C
12160,C,C,C,C,C
12216,C,N,N,N,C
13050,C,C,C,C,C
13078,C,C,C,C,C
14043,C,C,C,C,C
14055,C,C,C,C,C
14168,C,C,C,C,C
14223,C,C,C,C,C
14240,C,C,C,C,C
14250,C,C,C,C,C
14287,C,C,C,C,C
14342,C,C,C,C,C
14370,C,C,C,C,C
14424,C,C,C,C,C
14431,C,C,C,C,C
14439,C,C,C,C,C
14454,C,C,C,C,C
14486,C,C,C,C,C
14497,C,C,C,C,C
14522,C,C,C,C,C
14543,C,C,C,C,C
14576,C,C,C,C,C
14715,C,C,C,C,C
14738,C,C,C,C,C
15143,C,-,-,-,-
15188,C,C,C,C,C
15198,C,C,-,-,-
15230,C,C,C,C,C
15242,-,-,C,-,C
15263,C,C,-,-,C
16013,C,C,C,C,C
16016,C,C,C,C,C
16038,C,C,C,C,C
16067,C,C,C,C,C
16073,C,C,C,C,C
16096,C,C,C,C,C
16097,C,C,C,C,C
16120,C,C,C,C,C
16187,C,C,C,C,C
16215,C,C,C,C,C
16263,C,C,C,C,C
16290,C,C,C,C,C
16300,C,C,C,C,C
16303,C,C,C,C,C
16317,C,C,C,C,C
16340,C,C,C,C,C
16345,C,C,C,C,C
36016,C,C,C,C,C
36018,C,C,C,C,C
36051,C,C,C,C,C
36067,C,C,C,C,C
36133,C,C,C,C,C
36218,C,C,C,C,C
36224,C,C,C,C,C
37029,C,C,C,C,C
37049,C,C,C,C,C
37101,C,C,C,C,C
37146,C,C,C,C,C
37151,C,C,C,C,C
37163,C,C,C,C,C
37234,C,C,C,C,C
37254,-,-,-,C,C
37269,C,C,C,C,C
38008,C,-,-,C,-
38047,N,C,C,C,C
38059,C,C,C,C,C
38106,C,C,C,-,C
38159,C,C,C,C,C
38161,C,C,C,C,C
38245,C,C,C,C,C
38250,C,C,C,C,C
38276,C,C,C,C,C
38286,-,C,-,-,-
38373,C,C,C,C,C
38398,C,C,C,C,C
38503,C,C,C,C,C
39016,C,C,C,C,C
39108,-,-,-,C,C
39201,C,C,C,C,C
39246,C,C,C,C,C
39266,C,C,C,C,C
39267,-,-,C,-,C
39285,C,C,C,C,C
39295,C,C,C,C,C
39467,C,C,C,C,C
39485,C,C,C,C,N
40018,C,C,C,C,C
40023,C,C,C,C,C
40030,C,C,C,C,C
40079,C,C,C,C,C
40162,C,C,C,C,C
40207,C,C,C,C,C
40216,C,C,C,C,C
40281,C,C,C,C,C
41039,C,C,C,C,C
41154,C,C,C,C,C
41163,C,C,C,C,C
41185,C,C,C,C,C
41248,C,C,C,C,C
42003,C,C,C,C,C
42021,C,C,C,C,C
42033,C,C,C,C,C
42064,C,C,C,C,C
42105,C,C,C,C,C
42137,C,C,C,C,C
42171,C,C,C,C,C
42194,C,N,C,C,C
42320,C,C,C,C,C
43005,C,C,-,-,-
43021,N,N,N,C,C
43040,C,C,C,C,C
43141,C,C,C,C,C
43183,C,C,-,C,C
43188,C,C,C,-,-
43259,-,C,C,-,C
44002,C,C,C,C,C
44014,C,C,C,C,C
44081,C,C,C,C,C
44087,C,C,C,C,C
44194,C,C,C,C,C
44203,C,C,C,C,C
45175,C,C,C,C,C
45186,C,C,C,C,C
45189,C,C,C,C,C
45240,C,C,C,C,C
45263,C,C,C,C,C
45293,C,C,C,C,C
46005,C,C,C,C,C
46026,C,C,C,C,C
46037,C,C,C,C,C
46041,C,C,C,N,N
46047,C,C,C,C,C
46088,C,C,C,C,C
46103,C,C,C,N,C
46167,C,C,N,C,C
46232,C,C,C,C,N
46241,C,C,C,C,C
46255,N,C,N,C,C
46339,C,-,C,C,C
47019,C,C,C,C,C
47049,C,C,C,C,C
47084,C,C,C,C,C
47098,C,C,C,C,C
47122,N,C,C,C,C
47147,C,C,C,C,C
47200,C,C,C,C,C
47214,N,C,C,C,C
47218,C,C,C,C,C
47244,N,C,C,C,C
47276,C,N,C,C,C
47279,C,C,C,C,C
47295,C,C,C,C,C
47312,C,C,C,C,C
48054,-,-,-,-,-
48055,C,-,C,C,-
48073,-,C,-,-,-
48097,C,C,C,C,-
48140,C,C,C,C,C
48151,C,-,C,-,-
53035,C,C,C,C,C
53045,C,C,C,C,C
53144,C,C,C,C,C
53168,C,C,C,C,C
53211,C,C,C,C,C
40070,C,C,C,C,C
40089,C,C,C,C,C
40101,C,C,C,C,C
40135,C,C,C,C,C
40144,C,C,C,C,C
40190,C,C,C,C,C
40233,C,C,C,C,C
40267,C,C,C,C,C
40277,C,C,C,C,C
40282,C,C,C,C,C
40298,C,C,C,C,C
40314,C,C,C,C,C
48181,C,C,C,C,C
49068,C,C,C,C,C
49070,C,C,C,C,C
49076,C,C,C,C,C
49092,C,C,C,C,C
49114,C,C,C,C,C
49129,C,C,C,C,C
49161,C,C,C,C,C
49221,C,C,C,C,C
49253,C,C,C,C,C
49260,C,C,C,C,C
49278,C,C,C,C,C
50021,C,C,C,C,C
50025,C,C,C,C,C
50040,C,C,C,C,C
50142,C,C,C,C,C
50158,C,C,C,C,C
50210,C,C,C,C,C
50230,C,C,C,C,C
50266,C,C,C,C,C
50299,C,C,C,C,C
50356,C,C,C,C,C
50384,C,C,C,C,C
50397,C,C,C,C,C
50412,C,C,C,C,C
50474,C,C,C,C,C
50556,C,C,C,C,C
51071,C,C,C,C,C
51117,C,C,C,C,C
51125,-,C,-,-,-
51149,C,C,C,C,C
51197,-,C,C,-,-
51216,N,C,C,C,C
51228,-,C,-,-,-
51234,C,C,C,C,C
51353,C,C,C,C,C
51378,C,C,C,C,C
51430,C,C,C,C,C
51484,C,C,C,C,C
51496,C,C,C,C,C
51497,N,N,N,C,N
51507,C,C,C,C,N
51552,C,C,C,C,C
51578,-,-,C,-,-
51620,C,C,C,C,C
51625,C,C,C,C,C
51628,C,C,C,C,C
51646,C,C,C,C,C
52027,-,C,-,C,-
52042,C,-,-,C,-
52059,-,C,C,-,-
52061,-,C,C,C,C
52193,C,C,C,C,C
52199,-,C,C,C,C
52203,C,-,-,-,-
52248,C,C,C,C,C
52328,-,C,-,-,-
52422,C,C,C,C,C
52429,C,C,C,C,C
52461,-,-,C,-,C
52524,-,C,C,-,-
53011,C,C,C,C,C
53224,C,C,C,C,C
53243,C,C,C,C,C
53270,C,C,C,C,C
54001,C,C,C,C,C
54026,C,C,C,C,C
54038,C,C,C,C,C
54045,C,C,C,C,C
54073,C,C,C,C,C
54082,C,C,C,C,C
54088,C,-,-,-,-
54116,C,C,C,C,C
54192,C,C,C,C,C
54209,C,C,C,C,C
54271,C,C,C,C,C
54287,C,C,C,C,C
54301,C,C,C,C,C
54306,-,C,C,-,C
54315,C,C,C,C,C
54320,C,-,-,C,-
54375,C,C,C,C,C
54378,C,C,C,C,C
54396,-,-,-,C,C
54417,C,C,C,C,C
54466,C,C,C,C,N
54475,C,C,C,C,C
54480,C,C,C,C,C
54525,C,C,C,C,C
54540,C,C,C,C,C
54566,C,C,C,C,C
54583,-,C,C,C,C
81222,N,C,C,C,C
81262,C,C,C,C,C
81275,-,-,C,C,C
81299,C,C,C,C,C
82001,C,C,C,C,C
82038,C,C,C,C,N
82073,C,C,C,C,C
82178,C,C,C,C,C
83038,C,C,C,-,C
83064,C,C,C,C,C
83086,C,C,C,C,C
83124,C,C,C,C,C
84059,C,-,C,-,-
84063,C,C,C,C,C
84071,C,C,C,C,C
84074,C,C,C,C,C
